WM	Current_Price	Store	Prod_Name	Prod_Alias	RegPrice	OnSalePrice
30053614  	4.97	ALP	Berry Lovers Blackberry	黑莓	1.69	1.69
30050682  	3.97	ALP	Jet Fresh Blueberries	藍莓	3.99	3.99
30083889  	4.97	ALP	Fresh Goldenberries		3.59	3.59
30506056  	1.97	ALP	Shallot	紅蔥頭	0.79	0.79
30050689  	6.97	ALP	BerryMax	藍莓	3.99	3.99
30083726  	4.97	ALP	FIGS		2.99	2.99
30757569  	1.97	ALP	Riga Farms Black Kale #3166	西人芥蘭	1.99	1.99
30099999  	2.97	ALP	Korean Persimmon(Bag)	袋裝韓國富貴柿	1.99	1.99
30207853  	9.97	ALP	Longan		3.59	3.59
30097119  	2.97	ALP	Saturn Flat White Peach	扁桃	3.99	3.99
30057245  	4.97	ALP	Cherri Yum Cherry Plums		4.99	4.99
30746800  	8.97	ALP	King Oyster Baby Mushroom	皇子菰	8.99	8.99
30751916  	2.97	ALP	Baby King Oyster Mushroom	本地小皇子菇	2.99	1.99
30751919  	3.97	ALP	Sliced King  Oyster  Mushroom	切片皇子菇	2.99	2.50
30751926  	5.97	ALP	Local Baby King Oyster Mushroom	本地小皇子菇	2.99	2.99
30757560  	3.97	ALP	Enviro Baby King Oyster Mushrooms		2.99	2.99
30762958  	2.97	ALP	Enviro Baby King Oyster Mushrooms		2.59	2.59
30763228  	2.57	ALP	Fresh  Enviro Mushrooms(Enoki)		1.59	1.59
30757566  	3.57	ALP	Organic Enviro Black Oyster Mushroom		2.99	2.99
30506144  	2.97	ALP	Fresh Shallots		1.99	1.99
30506669  	3.97	ALP	Cesares Yellow Pearl Onion		2.99	2.99
30506671  	4.97	ALP	Cesares Organic Shallots		3.99	3.99
30050734  	3.97	ALP	Organic Blueberries	藍莓	1.99	0.00
30207847  	9.97	ALP	Kaki Persimmon		3.59	3.59
30100005  	4.97	ALP	Carrousel Kaki Persimmon	盒裝西班牙高身柿	3.99	3.99
30100007  	5.97	ALP	Fuyu Persimmon	富貴	4.99	4.99
30033113  	8.97	ALP	Organic Apricot		6.99	6.99
30512069  	2.97	ALP	Organic Alliance Grape Tomatoes		1.79	1.79
30084575  	3.97	ALP	Sweet Babies Seedless Table Grapes		3.28	3.28
30084576  	3.97	ALP	Sweet Babies Seedless Table Grape		3.59	3.59
30763526  	3.97	ALP	BABY PORTABELLA	靈芝菇	2.99	0.00
30757581  	3.97	ALP	Windmill Farms		2.99	0.00
30757602  	3.97	ALP	Organic Sliced White Mushroom		2.29	2.29
30757613  	3.97	ALP	Organic Portobello Sliced Mushroom		2.99	2.99
30207851  	9.97	ALP	Fresh Taste Figs		3.99	3.99
30758496  	1.97	ALP	Brown Shimeji Mushroom	松茸菇	1.29	1.29
30758514  	1.97	ALP	Shimeji Mushroom	松茸菇	1.29	1.29
30760492  	1.97	ALP	Greenpeace White Shimeji Mushroom	松茸菇	1.29	1.29
30098116  	25.97	ALP	Ataulfo Mango(Pack )	呂宋芒(盒裝)	12.99	9.99
30098131  	25.97	ALP	Fat Cat Ataulfo  Mango	原箱呂宋芒(12個)              	11.99	11.99
30083562  	2.97	ALP	Buenas Green Tamarind Fruit	甜酸子	1.99	0.00
30083667  	2.97	ALP	BDMP Sweet& Sour Tamaring	甜酸子	1.99	1.99
30095581  	5.97	ALP	Origanic Kiwi(pack)	盒裝奇異果	2.99	2.99
30506940  	3.97	ALP	FreshFirst  Sugar Snap Peas	包裝蜜豆	0.59	0.00
30057250  	5.97	ALP	Organic  Black Angelino Plums		5.99	5.99
30762855  	3.97	ALP	Organic Select Organic Ginger		3.99	3.99
30506728  	4.97	ALP	Organic Shallots		3.99	3.99
30084590  	8.97	ALP	Peony Black Seeded Table Grapes(6lbs)	韓國黑加侖提(6lbs)	8.99	0.00
30084591  	3.97	ALP	Red Sedless Grapes		2.99	0.00
30761690  	4.57	ALP	Hokto King Trumpet Mushrrom		3.59	3.59
30761693  	2.97	ALP	Organic White Beech Mushroom		1.59	1.59
31231418  	15.37	ALP	Fresh Durian	新鮮榴槤	6.99	6.99
31231412  	4.34	ALP	Chinese Madarin	中國蘆柑	1.08	1.08
31231433  	12.97	ALP	Jumbo Seeded Watermelon (#4031x)	特大西瓜 (x)	2.99	2.99
30098127  	6.55	ALP	Honey Belle Pear	糖心啤梨	2.59	2.59
31231428  	2.87	ALP	Persimmons	富貴柿	1.29	1.29
30084597  	8.75	ALP	Large Green Grape	有核大青提	1.59	1.59
30042463  	0.97	ALP	Bag Avocado	袋裝牛油果	2.99	2.99
31231408  	9.97	ALP	Strawberries		3.59	3.59
30096542  	7.23	ALP	Flat White Peach	扁桃	2.99	2.99
31231423  	50.64	ALP	Jamaican Papaya	原箱牙買加木瓜	22.99	22.99
30100010  	2.97	ALP	Korean Persimmons	韓國柿子3粒裝	1.29	1.29
30056229  	6.55	ALP	Sugar Plum	甜布霖	1.59	1.59
30083173  	13.16	ALP	Roseapple	蓮霧	6.59	6.59
30056177  	4.34	ALP	Strawberry Plum#3126	士多啤梨布霖#3126	0.99	0.99
30099294  	2.57	ALP	Honey Belle	糖心碑梨	5.99	5.99
30082956  	8.75	ALP	Dates		3.99	3.99
30095028  	2.14	ALP	Spy  Apple	本地蘋果	0.29	0.29
30083052  	10.96	ALP	Monk Fruit (Luo Han Guo)	羅漢果	2.99	2.99
30096342  	37.41	ALP	Haiti Mango	海地芒	2.59	2.59
31231430  	8.75	ALP	Sweet Dates	蜜棗	0.99	0.99
30083194  	8.75	ALP	Indian Dates	印度?	2.99	2.99
30082786  	8.75	ALP	Indian Dates	印度?	2.99	2.99
30082970  	10.96	ALP	Hawthorn	水果山楂	3.99	2.99
30100081  	4.34	ALP	Minneola	橙桔	1.29	1.29
30094113  	4.34	ALP	Blood Orange(#4390)	血橙	1.29	1.29
30096537  	13.16	ALP	Chinese Lucky Bamboo	發財富貴竹	2.99	2.99
31231410  	8.75	ALP	Flower	劍蘭	2.99	2.99
31231517  	6.55	OFC	Amaranth (Red Stripe)	紅莧菜	3.29	0.00
30082697  	2.97	OFC	Fresh Coconut	新鮮椰青	3.99	1.59
31231406  	4.97	OFC	Blackberries	黑莓	1.99	1.29
30082798  	8.75	OFC	Bread Fruit	麵包果	1.99	0.00
31231509  	13.16	OFC	Snow Pea Tip	豆 苗	3.99	0.00
31231438  	15.37	OFC	Jamaica Jujude	牙買加蜜棗	2.99	0.00
30056179  	5.67	OFC	Flower Queen Plum	雪花布霖	2.59	0.00
30762881  	4.34	OFC	Fresh Aloe	新鮮蘆薈	2.99	0.00
30762265  	8.75	OFC	Fresh Banana Leaves	新鮮香蕉葉	1.59	0.00
30515108  	4.34	OFC	Green Turnip	青籮蔔	1.29	0.69
30508505  	1.97	OFC	Red Pepper (In Bag)           	包裝紅椒                      	0.99	0.99
31231426  	5.67	OFC	Golden Pear	黃金梨	0.99	0.00
30095715  	8.75	OFC	Longan(Red Bag)	龍眼(紅袋)	2.98	0.00
31231442  	8.75	OFC	Longan(Red Bag)	龍眼(紅袋)	2.98	0.00
31227505  	2.14	OFC	Sweet Yam (S)	甜蕃薯(小)	2.29	0.00
30043845  	8.75	OFC	Vietnamese Bananas	越南大蕉	1.99	0.00
30506745  	17.57	OFC	Sugar Snap Peas	蜜  豆	1.99	0.00
31231488  	13.16	OFC	Green Ton Choy	青通	2.59	0.00
31235997  	5.67	OFC	Baby Mustard	芥菜仔	1.49	0.00
30504626  	3.02	OFC	U.S Tomatoes	美國番茄	0.88	0.00
31231487  	13.16	OFC	White Ton Choy	本地白通菜	2.79	0.00
31231492  	8.75	OFC	Ton Ho Choy	蓎蒿菜(大葉)	2.29	0.00
30099246  	5.97	OFC	Green Pear                    	袋裝青啤梨                    	2.99	2.99
30514437  	2.80	OFC	Little Bear Kale	西人芥蘭	2.59	0.00
30515110  	4.34	OFC	Indian Turnip	印度白蘿蔔	1.29	0.79
30757606  	4.34	OFC	Indian Turnip	印度白蘿蔔	1.29	0.79
31231422  	6.55	OFC	Jack Fruit	菠蘿蜜	2.99	0.00
31231513  	3.90	OFC	Salad Tomatoes	沙拉蕃茄	0.99	0.00
31231474  	8.75	OFC	Taiwan Okra	臺灣勝瓜	1.99	0.00
30098140  	25.97	OFC	Ataulfo  Mango	原箱呂宋芒 (20粒)	9.99	11.99
30504700  	1.97	OFC	Cherry Tomato	珍珠番茄(盒)	1.29	0.00
31231516  	10.96	OFC	Green Amaranth	青紅莧菜	2.59	0.00
31231415  	13.16	OFC	Red Dragon Fruit	紅肉火龍果	6.99	0.00
31231416  	21.98	OFC	Red Dragon Fruit	紅肉火龍果	6.99	0.00
30515238  	3.97	OFC	Sunset Tomatoes               	番茄盒裝                      	0.99	0.99
31231494  	6.55	OFC	A A Choy	A A 菜	2.39	0.00
31231500  	8.75	OFC	Sweet Potato Leaves	蕃薯葉	3.99	0.00
30762518  	8.75	OFC	Sweet Potato Leaves	蕃薯葉	3.99	0.00
30757577  	2.14	OFC	Soya Bean Sprout	大豆芽菜	1.29	0.89
31231472  	2.14	OFC	Soya Bean Sprout	大豆芽菜	1.29	0.89
31231421  	4.34	OFC	Jack Fruit	菠蘿蜜	2.99	4.99
31231473  	6.55	OFC	Gai Lan Tips	芥蘭苗	2.59	0.00
31231510  	2.14	OFC	White Radish	白蘿蔔	0.69	0.00
30757588  	1.97	OFC	Organic Certificate Soy Bean Sprouts	豆芽(500g)	1.29	0.89
31231496  	8.75	OFC	Chinese Leek	唐 蒜	2.59	0.00
30043285  	6.55	OFC	Vietnamese Banana	越南大蕉	1.99	1.59
31231508  	2.57	OFC	Peking Green Onion	京 蔥	1.69	0.99
30083176  	10.96	OFC	Sweet  Sapodira	南美人參果	2.99	2.99
31227508  	1.70	OFC	Butter Cub                    	扁形南瓜                      	0.99	0.99
30778613  	1.97	OFC	Purple Cabbage	紫椰菜	0.99	0.00
31231471  	6.55	OFC	Long Bean	長白豆角	2.29	0.00
31231519  	2.80	OFC	Winter Melon	冬  瓜	0.99	0.00
31231511  	6.55	OFC	Spinach	菠 菜(有頭)	2.59	0.00
31231514  	6.55	OFC	Fresh Peanut	新鮮花生	1.28	0.00
31235991  	6.55	OFC	Eggplant	茄瓜	1.29	0.00
31231490  	8.75	OFC	Malabar Spinach	潺菜	2.59	0.00
30082790  	13.16	OFC	Dragon Fruit	散裝火龍果	1.99	0.00
30762871  	6.55	OFC	Snake Squash	蛇瓜	1.99	1.99
30760495  	1.97	OFC	Chinese Cucumber              	小唐青瓜                      	0.49	0.49
31231522  	1.77	OFC	GREEN MANGO	青芒果	1.99	0.00
31227492  	2.97	OFMM	Andy Boy Broccoli Rabe-Rappini	西人芥蘭                      	1.59	0.99
30083344  	13.16	OFC	Bon Bon Vietnam (Trai Dau)	越南黃皮	5.99	4.99
30523779  	1.92	OFC	Plantain (yellow)	黃大蕉	0.99	0.00
30096923  	8.75	OFC	Hyden Mango	萍果芒	2.29	0.00
30080329  	6.55	OFC	Honey Madarin                 	蘆柑桔                        	0.79	0.79
30515228  	8.75	OFC	Water Chestnut Pack	網袋裝馬蹄	2.59	0.00
31227562  	4.34	OFC	Kingo Nut                     	鮮白果                        	1.29	1.29
31231495  	4.34	OFC	Long Nappa	長紹菜	0.99	0.00
30097113  	1.97	OFC	St. Carlos Kent Mango (Box)	原箱萍果芒	14.99	0.00
31231485  	6.55	OFC	Choy Mue Shanghai	上海白菜苗	1.99	0.00
31227515  	5.00	OFC	Jicama	沙  葛	1.59	0.00
31231534  	4.34	OFC	Purple Turnips	紫色菜頭	0.99	0.00
31231489  	6.55	OFC	Yu Choi Tip	油菜苗	2.49	0.00
30039611  	1.37	OFC	Delicia Avocado	牛油果	1.29	0.00
31231484  	4.34	OFC	Bok Choy	奶油白菜	1.59	0.00
30080648  	4.34	OFC	Sweet Tangerine	智利蜜橘	1.99	0.00
30083171  	10.96	OFC	Red Fruit	紅果	1.29	0.00
31231526  	4.34	OFC	Korean Cabbage	高麗菜(包裝)	1.29	0.00
30762857  	8.75	OFC	Taro Leaves	芋 葉	2.99	0.00
31231482  	8.75	OFC	Taro Leaves	芋 葉	2.99	0.00
30098169  	5.67	OFC	CA Small Orange               	加州小橙                      	1.00	1.00
31231414  	1.97	OFC	Green Coconut	青椰子	2.99	0.00
31231413  	4.34	OFC	Clementine	松皮橘	1.99	0.00
31231453  	20.97	OFC	Figs	無花果	9.99	0.00
30505173  	1.57	OFC	Gourmet Tomato                	盒裝番茄                      	0.99	0.99
31231504  	2.57	OFC	Garlic Stem	蒜  芯	1.19	2.99
30083887  	4.97	OFC	Golden Berries	黃金啤梨	2.99	1.99
30762880  	6.55	OFC	Fresh Fennel                  	西人香芹                      	1.59	1.59
30508493  	2.97	OFC	Super Sweet Yellow Tomatoes   	超甜黃番茄                    	0.99	0.99
31231505  	10.96	OFC	White Skin Purple Heart Yam	白皮紫芯番薯	2.59	0.00
30059879  	13.16	OFC	Thailand Rambutan	泰國紅毛丹	1.99	0.00
31231483  	4.34	OFC	Local Taiwan Bok Choy	臺灣白菜	1.59	0.99
31231435  	10.96	OFC	Honey Dates	紅棗	1.98	0.00
30097302  	2.97	OFC	OKF Black Tea Peach & Aloe Bits		2.99	0.00
31231419  	5.97	OFC	Chirimoya	歐洲番荔枝	5.99	0.00
31231407  	4.97	OFC	Raspberries	紅莓	2.99	2.99
30095751  	8.75	OFC	Yellow peach	本地黃毛桃	2.99	0.00
